ข้อ,โชว์โจทย์: ชื่อปฏิกิริยา / พอลิเมอร์,หาใน Shuffle Pool: ภาพสมการฉบับเต็ม,The Lock (บังคับเลือก)
1,Addition Polymerization,ภาพสมการข้อ 1,💧 เติม (Addition)
2,Free-Radical Polymerization,"ภาพสมการข้อ 2 (ที่มีตัวเร่ง R*, Δ)",💧 เติม (Addition)
3,Cationic Polymerization,ภาพสมการข้อ 3 (ที่มีตัวเร่ง H+),💧 เติม (Addition)
4,Anionic Polymerization,ภาพสมการข้อ 4 (ที่มีตัวเร่ง R− / Base),💧 เติม (Addition)
5,Coordination (Ziegler-Natta),ภาพสมการข้อ 5 (ที่มี TiCl4​/AlR3​),💧 เติม (Addition)
6,Ring-Opening Polymerization,ภาพสมการข้อ 6 (สมการวงแหวน 5 เหลี่ยม),💧 เติม (Addition)
7,Step-Growth Polymerization,ภาพสมการข้อ 7 (สังเกตมี −n H2​O),☁️ ควบแน่น (Condensation)
8,Polyamide Formation,ภาพสมการข้อ 8 (สังเกตมีพันธะเอไมด์ −NH−CO−),☁️ ควบแน่น (Condensation)
9,Polyester Formation,ภาพสมการข้อ 9 (โครงสร้างคล้ายข้อ 7),☁️ ควบแน่น (Condensation)
10,Polyurethane Formation,ภาพสมการข้อ 10 (มีหมู่ OCN−R′−NCO),☁️ ควบแน่น (Condensation)
11,Polyurea Formation,ภาพสมการข้อ 11 (มี H2​N และ OCN),☁️ ควบแน่น (Condensation)
12,Phenol-Formaldehyde Resin,ภาพสมการข้อ 12 (มีวงเบนซีนและ HCHO),☁️ ควบแน่น (Condensation)
13,Epoxy Polymerization,ภาพสมการข้อ 13 (สมการวงแหวนสามเหลี่ยม),💧 เติม (Addition)
14,Polycarbonate Formation,ภาพสมการข้อ 14 (สังเกตมี −2n HCl),☁️ ควบแน่น (Condensation)
15,Polysulfone Formation,ภาพสมการข้อ 15 (สังเกตมี SO2​),☁️ ควบแน่น (Condensation)
16,Silicone (Condensation),ภาพสมการข้อ 16 (สังเกตมีธาตุ Si),☁️ ควบแน่น (Condensation)
17,Addition Polymerization of Dienes,ภาพสมการข้อ 17 (มีพันธะคู่ 2 ที่ C=C−C=C),💧 เติม (Addition)
18,Poly(ethylene terephthalate),ภาพสมการข้อ 18 (สมการ PET มีวงเบนซีนในผลิตภัณฑ์),☁️ ควบแน่น (Condensation)
19,Poly(vinyl chloride) Formation,ภาพสมการข้อ 19 (สังเกตตัว Cl),💧 เติม (Addition)
20,Poly(methyl methacrylate),ภาพสมการข้อ 20 (สังเกตมี COOCH3​),💧 เติม (Addition)
